SID000000 "Loan Confirmed"
SID001196 "DIRECTIONLESS"
SID001197 "%s has no Technical Director. The team is in turmoil."
SID001198 "SINKING SHIP"
SID001199 "%s do not have a Chief Mechanic. Surely the team can not go on like this."
SID001200 "NOT WORKING"
SID001201 "Sports journalists and fans have voted %s, Formula One Manager of the Year."
SID001202 "MANAGER OF THE YEAR"
SID001203 "Manager of the Year News"
SID001204 "Commercial Manager"
SID001205 "Our Sponsors are delighted with your personal high profile."
SID001206 "Sports journalists have voted %s,  Worst Manager of the Year."
SID001207 "RESIGN NOW!"
SID001208 "Worst Manager of the Year News"
SID001209 "Commercial Manager"
SID001210 "Our Sponsors are insisting that you need to improve your image with the press."
SID001211 "%s has enough resources to get the job done this year."
SID001212 "READY TO ROLL"
SID001213 "%s has the finances it needs for a successful season."
SID001214 "EXPECTING PROGRESS"
SID001215 "%s has enough backing to fight for this year's Championship."
SID001216 "FIGHTING FIT"
SID001217 "%s will accept nothing less than first place this year."
SID001218 "NO EXCUSES"
SID001219 "%s is reasonably happy with the financial picture for %s this year."
SID001220 "IN GOOD HANDS"
SID001221 "Rumours are that %s is spending more money than %s is making."
SID001222 "OUT OF CONTROL"
SID001223 "%s has been voted into the all-time Formula One Hall of Fame."
SID001224 "HALL OF FAME"
SID001225 "Hall of Fame News"
SID001226 "Commercial Manager"
SID001227 "Our Sponsors have been sending in bottles of champagne, to congratulate you on reaching the Hall of Fame."
SID001228 "%s has been voted Formula One Manager of the Decade."
SID001229 "CAREER TRIUMPH!"
SID001230 "Career News"
SID001231 "Commercial Manager"
SID001232 "Sponsors are fighting to do business with the most successful manager of the decade. Well done."
SID001233 "%s has signed %s to run the Commercial team."
SID001234 "TOP CASH FOR TOP QUALITY"
SID001235 "The excellent %s has agreed to join %s."
SID001236 "BUYING SUCCESS"
SID001237 "%s has hired %s to design the car that will bring it victory."
SID001238 "BLUEPRINT FOR VICTORY"
SID001239 "Veteran %s has agreed to join %s."
SID001240 "SPANNER IN THE WORKS"
SID001241 "%s is rumoured to be talking to %s about a role with the team next year."
SID001242 "BUSINESS AS USUAL"
SID001243 "%s has been in deep discussion with %s over a Technical Director post with the team next year."
SID001244 "DESIGNS ON GURU"
SID001245 "%s is said to be close to signing a Chief Mechanic deal with %s."
SID001246 "OIL ON DEAL"
SID001247 "%s is on the verge of signing a major Technical Director deal with %s."
SID001248 "VETERAN TO SIGN?"
SID001249 "At the last Grand Prix, %s was seen in close conference with %s."
SID001250 "HEAD-HUNTED"
SID001251 "Reliable sources claim that %s has been meeting with %s."
SID001252 "SECRET TALKS"
SID001253 "%s met with %s last week to talk about signing on as Chief Designer."
SID001254 "DESIGNS ON RIVAL"
SID001255 "%s is reported to have been seen at the %s factory."
SID001256 "MOVING HOUSE"
SID001257 "%s has surprised everyone by firing its Commerical Manager, %s."
SID001258 "NO CASH NO JOB"
SID001259 "%s has confirmed astonishing rumours that it has fired its Technical Director, %s."
SID001260 "NO DIRECTION"
SID001261 "Unhappy with its current position, %s has agreed to part with its Chief Designer, %s."
SID001262 "SCAPEGOAT"
SID001263 "%s has fired %s, its Chief Mechanic."
SID001264 "CLOSE THE DOOR"
SID001265 "%s has fired %s from its driver roster."
SID001266 "HEADS ROLL"
SID001267 "%s has announced the departure of %s from the team."
SID001268 "SHOCK EXIT"
SID001269 "%s has signed %s."
SID001270 "DRIVER SIGNED UP"
SID001271 "%s has closed a deal with %s."
SID001272 "RACER ON BOARD"
SID001273 "%s will be racing for %s."
SID001274 "DEAL SIGNED"
SID001275 "%s has signed a deal with %s."
SID001276 "ON THE DOTTED LINE"
SID001277 "%s has agreed to race for %s."
SID001278 "KEY DEAL"
SID001279 "%s has secured the services of %s."
SID001280 "COMING TOGETHER"
SID001281 "%s has done a deal with %s."
SID001282 "DEAL CONFIRMED"
SID001283 "%s is close to sealing a deal with %s."
SID001284 "DEAL ON OFFER"
SID001285 "%s is working hard to sign up %s."
SID001286 "NOT FAR NOW"
SID001287 "%s is confident of agreeing a deal with %s."
SID001288 "TOP DRIVER SIGNING"
SID001289 "%s hopes to close a deal with %s."
SID001290 "PODIUM DEAL"
SID001291 "The hottest rumour in F1 is that %s is moving to %s."
SID001292 "MEXICAN STAND-OFF"
SID001293 "%s plans to move to %s."
SID001294 "MUSICAL CHAIRS"
SID001295 "Insiders have revealed that %s intends to join %s."
SID001296 "SILLY SEASON"
SID001297 "%s have announced an imminent deal with %s."
SID001298 "SUITS US, SIR"
SID001299 "%s has announced his plans to retire at the end of the current season."
SID001300 "GOODBYE TO F1"
SID001301 "%s has cancelled his retirement plans, and will race in F1 next year."
SID001302 "U-TURN"
SID001303 "%s has given a warm welcome to new boss, %s. Great things are expected of this new team owner."
SID001304 "NEW PLAYER IN F1"
SID001305 "%s has bought a seat with the %s team. "
SID001306 "HAVE CASH WILL DRIVE"
SID001307 "%s has made a fortune from licensing this year. Its merchandise is everywhere."
SID001308 "BRAND STRENGTH"
SID001309 "Sponsors of %s are concerned that the team has signed %s to be its next Commercial Manager."
SID001310 "ONE CAREFUL OWNER"
SID001311 "%s is to join %s as its new Commercial Manager."
SID001312 "CASH FLOWED"
SID001313 "%s is playing it safe with the appointment of %s as its next Commercial Manager."
SID001314 "EYE FOR FIGURES"
SID001315 "%s has pleased its sponsor by signing up %s as its next Commercial Manager."
SID001316 "QUALITY TICKET"
SID001317 "Rivals of %s are pleased that the team has signed %s to be its next Chief Designer."
SID001318 "PENCIL SHARPENER"
SID001319 "%s is to join %s as its next Chief Designer. This is a surprise choice."
SID001320 "BACK TO THE DRAWING BOARD"
SID001321 "%s has signed up %s to be its next Chief Designer."
SID001322 "SAFE NOT SORRY"
SID001323 "%s has signed a lucrative Chief Designer deal with %s."
SID001324 "DESIGNS ON SUCCESS"
SID001325 "The world of F1 is shocked to hear that %s has closed a deal with %s to be its next Technical Director."
SID001326 "WHAT'S A CAR?"
SID001327 "%s is joining %s as its next Technical Director. This is unexpected."
SID001328 "LEAD FROM THE BACK"
SID001329 "%s has hired %s to be its next Technical Director."
SID001330 "RELIABILITY IS THE KEY"
SID001331 "%s has closed a deal with %s to be its next Technical Director."
SID001332 "THE WAY FORWARD"
SID001333 "Staff at %s are said to be unhappy with the appointment of %s as the team's next Chief Mechanic."
SID001334 "WRENCH MONKEY"
SID001335 "%s has just announced a Chief Mechanic deal with %s."
SID001336 "TEAM SET UP?"
SID001337 "%s has signed up the reliable %s to be its next Chief Mechanic."
SID001338 "HANDS DIRTY"
SID001339 "Staff at %s are pleased with the appointment of %s as the team's next Chief Mechanic."
SID001340 "QUICK FITTER"
SID001341 "Talks between %s and %s over a possible driver deal have ended in bitter dispute."
SID001342 "SECONDS OUT"
SID001343 "Recent discussions between %s and %s ended badly when %s stormed out of the meeting."
SID001344 "END IN TEARS"
SID001345 "%s has signed %s to be its next Chief Designer. %s had also been talking to %s."
SID001346 "IN DEMAND"
SID001347 "%s has joined %s as its new Technical Director, after also having many discussions with %s."
SID001348 "HARD DECISION"
SID001349 "Chief Mechanic, %s, has signed a deal with %s, and not with %s as some people had expected."
SID001350 "WHEELS WITHIN WHEELS"
SID001351 "Commercial Manager, %s, had planned to join %s, but has signed a deal with %s."
SID001352 "LOVE OR MONEY?"
SID001353 "MUGENHO"
SID001354 "Soliver"
SID001355 "Canal"
SID001356 "Telearg"
SID001357 "Game Options"
SID001358 "Audio Options"
SID001359 "3d Graphics"
SID001360 "Music"
SID001361 "Sound FX"
SID001362 "Speech"
SID001363 "Race Quality"
SID001364 "Sponsor Logos"
SID001365 "Back to Race"
SID001366 "Restart Game"
SID001367 "Save Game Screen"
SID001368 "Quit Game"
SID001369 "Game Options"
SID001370 "If you Restart the game, you will lose any unsaved changes and be returned to the Main Menu. Do you still wish to proceed?"
SID001371 "Audio Options"
SID001372 "Audio Options"
SID001373 "3d Graphics"
SID001374 "3d Graphics"
SID001375 "Music"
SID001376 "Sound FX"
SID001377 "Speech"
SID001378 "Visual FX"
SID001379 "True Sponsor Logos"
SID001380 "Race Speed"
SID001381 "Are you sure you want to save the current game?"
SID001382 "Are you sure you want to delete this Saved Game?"
SID001383 "If you Restart the game, you will lose any unsaved changes and be returned to the Main Menu. Do you still wish to proceed?"
SID001384 "Sound Effects"
SID001385 "Speech"
SID001386 "Visual Effects"
SID001387 "1998 Sponsor Logos"
SID001388 "Race Speed"
SID001389 "Game Paused"
SID001390 "AUTO SAVE"
SID001391 "EMPTY"
SID001392 "EMPTY"
SID001393 "Player:"
SID001394 "Team:"
SID001395 "Created:"
SID001396 "Modified:"
SID001397 "Score:"
SID001398 "Seasons Completed:"
SID001399 "Current Year:"
SID001400 "Championship Position:"
SID001401 "Championship Points:"
SID001402 "Next Race:"
SID001403 "%s"
SID001404 "%s"
SID001405 "%s"
SID001406 "%s"
SID001407 "%d"
SID001408 "%d"
SID001409 "%d"
SID001410 "%d"
SID001411 "%s"
SID001412 "st"
SID001413 "nd"
SID001414 "rd"
SID001415 "th"
SID001416 "%s %d%s"
SID001417 "%s %d%s"
SID001418 ""
SID001419 "Pos"
SID001420 "Driver"
SID001421 "Team"
SID001422 "Points"
SID001423 "%d Driver Points"
SID001424 "Round %d"
SID001425 "New Season"
SID001426 "Unclassified"
SID001427 "%d="
SID001428 "%d"
SID001429 "-"
SID001430 "%d pts"
SID001431 "%d="
SID001432 "%d"
SID001433 "N/A"
SID001434 "%d="
SID001435 "%d"
SID001436 "N/A"
SID001437 "-"
SID001438 "%d Constructor Points"
SID001439 "Round %d"
SID001440 "Pos"
SID001441 "Team"
SID001442 "Points"
SID001443 "1"
SID001444 "New Season"
SID001445 "%d="
SID001446 "%d"
SID001447 "%s"
SID001448 "%d pts"
SID001449 "Unclassified"
SID001450 "-"
SID001451 "%s"
SID001452 "0 pts"
SID001453 "%d="
SID001454 "%d"
SID001455 "%s"
SID001456 "%d pts"
SID001457 "Unclassified"
SID001458 "-"
SID001459 "%s"
SID001460 "0 pts"
SID001461 "Driver Orders"
SID001462 "Back to FIA Races"
SID001463 "Circuit Map"
SID001464 "Back to Racing Orders"
SID001465 "Back to FIA Races"
SID001466 "Circuit Information"
SID001467 "Turns"
SID001468 "Gears"
SID001469 "Speed"
SID001470 "Competitor List"
SID001471 "Competitor List"
SID001472 "Continue Race Weekend"
SID001473 "Previous Driver"
SID001474 "Next Driver"
SID001475 "Competitor List"
SID001476 "%d %s GP - Competitor List"
SID001477 "No."
SID001478 "Name"
SID001479 "Team"
SID001480 "Not Racing"
SID001481 "Injured"
SID001482 "Banned"
SID001483 "Reason"
SID001484 "%d Summary"
SID001485 "%d Sponsors"
SID001486 "%d Bonuses"
SID001487 "%d Summary"
SID001488 "%d Sponsors"
SID001489 "%d Bonuses"
SID001490 "Annual Estimated Sponsorship"
SID001491 "Car Coverage"
SID001492 " %"
SID001493 "%d%%"
SID001494 "Estimated Sponsorship To Date"
SID001495 "Actual Sponsorship To Date"
SID001496 "Estimated Sponsorship Per GP"
SID001497 "Actual Sponsorship Per GP"
SID001498 "$"
SID001499 "GP"
SID001500 "Sponsor"
SID001501 "Type"
SID001502 "Value"
SID001503 "Final Season"
SID001504 "Support"
SID001505 "%d"
SID001506 "Technical Sponsors"
SID001507 "Bonus"
SID001508 "Engine"
SID001509 "Tyre"
SID001510 "Fuel"
SID001511 "1"
SID001512 "2"
SID001513 "3"
SID001514 "1"
SID001515 "2"
SID001516 "3"
SID001517 "1"
SID001518 "2"
SID001519 "3"
SID001520 "Annual Estimated Sponsorship"
SID001521 "Car Coverage"
SID001522 " %"
SID001523 "%d%%"
SID001524 "Estimated Sponsorship Per GP"
SID001525 "$"
SID001526 "GP"
SID001527 "Sponsor"
SID001528 "Type"
SID001529 "Value"
SID001530 "Final Season"
SID001531 "Support"
SID001532 "%d"
SID001533 "%d"
SID001534 "Technical Sponsors"
SID001535 "Bonus"
SID001536 "Engine"
SID001537 "Tyre"
SID001538 "Fuel"
SID001539 "1"
SID001540 "2"
SID001541 "3"
SID001542 "1"
SID001543 "2"
SID001544 "3"
SID001545 "1"
SID001546 "2"
SID001547 "3"
SID001548 "MUGENHO"
SID001549 "Soliver"
SID001550 "Canal"
SID001551 "Telearg"
SID001552 "MUGENHOt"
SID001553 "Solivert"
SID001554 "Canalt"
SID001555 "Teleargt"
SID001556 "rb"
SID001557 "Commercial Staff"
SID001558 "Available"
SID001559 " %"
SID001560 "%d%%"
SID001561 "Licensing"
SID001562 " %"
SID001563 "%d%%"
SID001564 "Hospitality"
SID001565 " %"
SID001566 "%d%%"
SID001567 "Sponsorship"
SID001568 " %"
SID001569 "%d%%"
SID001570 "Team Sponsor"
SID001571 " %"
SID001572 "%d%%"
SID001573 "Engine Sponsor"
SID001574 " %"
SID001575 "%d%%"
SID001576 "Tyre Sponsor"
SID001577 " %"
SID001578 "%d%%"
SID001579 "Fuel Sponsor"
SID001580 " %"
SID001581 "%d%%"
SID001582 "Cash Sponsors"
SID001583 " %"
SID001584 "%d%%"
SID001585 "%d Sponsor Profile"
SID001586 "Type"
SID001587 "Sponsor"
SID001588 "Team"
SID001589 "Cash"
SID001590 "Cash"
SID001591 "-"
SID001592 "Team Sponsors"
SID001593 "Sponsors"
SID001594 "Cash"
SID001595 "%d"
SID001596 "Free"
SID001597 "New"
SID001598 "-"
SID001599 "-"
SID001600 "Team Sponsor has been converted to Cash Sponsor"
SID001601 "Deal Completed for next Season with %s"
SID001602 "Select Team Sponsor"
SID001603 "Negotiations with:  %s"
SID001604 "Staff Available"
SID001605 " %"
SID001606 "%d%%"
SID001607 "Assigned to this Deal"
SID001608 " %"
SID001609 "%d%%"
SID001610 "Negotiations"
SID001611 "Terminated"
SID001612 "Negotiations with:  %s"
SID001613 "Deal Signed"
SID001614 "Negotiations Started"
SID001615 "Yes"
SID001616 "No"
SID001617 "Deal Terms"
SID001618 "Unknown"
SID001619 "No Deal"
SID001620 "Bonus"
SID001621 "Guaranteed"
SID001622 "Deal Completion"
SID001623 "Cash Offer"
SID001624 "%d season(s)"
SID001625 "%d season"
SID001626 "Sign Deal"
SID001627 "Sign Deal"
SID001628 "Bonus 1"
SID001629 "Cash Offer increased from %s to %s"
SID001630 "Bonus 2"
SID001631 "Cash Offer increased from %s to %s"
SID001632 "Bonus 3"
SID001633 "Cash Offer increased from %s to %s"
SID001634 "Advantages"
SID001635 "Engine Sponsors"
SID001636 "Sponsors"
SID001637 "Cash"
SID001638 "R&D"
SID001639 "%d"
SID001640 "Deal"
SID001641 "New"
SID001642 "None"
SID001643 "-"
SID001644 "-"
SID001645 "Deal Completed for next Season with %s"
SID001646 "Select Engine Sponsor"
SID001647 "Negotiations with:  %s"
SID001648 "Staff Available"
SID001649 " %"
SID001650 "%d%%"
SID001651 "Assigned to this Deal"
SID001652 " %"
SID001653 "%d%%"
SID001654 "Negotiations "
SID001655 "Terminated"
SID001656 "Negotiations with:  %s"
SID001657 "Deal Signed"
SID001658 "Negotiations Started"
SID001659 "Yes"
SID001660 "No"
SID001661 "Deal Terms"
SID001662 "Unknown"
SID001663 "No Deal"
SID001664 "Deal Type"
SID001665 "Bonus"
SID001666 "Guaranteed"
SID001667 "Deal Completion"
SID001668 "Cost"
SID001669 "Cash Offer"
SID001670 "%d season(s)"
SID001671 "%d season"
SID001672 "Sign Deal"
SID001673 "Sign Deal"
SID001674 "Advantages"
SID001675 "Bonus 1"
SID001676 "Bonus 2"
SID001677 "Bonus 3"
SID001678 "Tyre Sponsors"
SID001679 "Sponsors"
SID001680 "Cash"
SID001681 "R&D"
SID001682 "%d"
SID001683 "Deal"
SID001684 "New"
SID001685 "None"
SID001686 "-"
SID001687 "-"
SID001688 "Deal Completed for next Season with %s"
SID001689 "Select Tyre Sponsor"
SID001690 "Negotiations with:  %s"
SID001691 "Staff Available"
SID001692 " %"
SID001693 "%d%%"
SID001694 "Assigned to this Deal"
SID001695 " %"
SID001696 "%d%%"
SID001697 "Negotiations "
SID001698 "Terminated"
SID001699 "Negotiations with:  %s"
SID001700 "Deal Signed"
SID001701 "Negotiations Started"
SID001702 "Yes"
SID001703 "No"
SID001704 "Deal Terms "
SID001705 "Unknown"
SID001706 "No Deal"
SID001707 "Deal Type"
SID001708 "Bonus"
SID001709 "Guaranteed"
SID001710 "Deal Completion"
SID001711 "Cost"
SID001712 "Cash Offer"
SID001713 "%d season(s)"
SID001714 "%d season"
SID001715 "Sign Deal"
SID001716 "Sign Deal"
SID001717 "Advantages"
SID001718 "Bonus 1"
SID001719 "Bonus 2"
SID001720 "Bonus 3"
SID001721 "Fuel Sponsors"
SID001722 "Sponsors"
SID001723 "Cash"
SID001724 "R&D"
SID001725 "%d"
SID001726 "Deal"
SID001727 "New"
SID001728 "None"
SID001729 "-"
SID001730 "-"
SID001731 "Deal Completed for next Season with %s"
SID001732 "Select Fuel Sponsor"
SID001733 "Negotiations with:  %s"
SID001734 "Staff Available"
SID001735 " %"
SID001736 "%d%%"
SID001737 "Assigned to this Deal"
SID001738 " %"
SID001739 "%d%%"
SID001740 "Negotiations "
SID001741 "Terminated"
SID001742 "Negotiations with:  %s"
SID001743 "Deal Signed"
SID001744 "Negotiations Started"
SID001745 "Yes"
SID001746 "No"
SID001747 "Deal Terms "
SID001748 "Unknown"
SID001749 "No Deal"
SID001750 "Deal Type"
SID001751 "Bonus"
SID001752 "Guaranteed"
SID001753 "Deal Completion"
SID001754 "Cost"
SID001755 "Cash Offer"
SID001756 "%d season(s)"
SID001757 "%d season"
SID001758 "Sign Deal"
SID001759 "Sign Deal"
SID001760 "Advantages"
SID001761 "Bonus 1"
SID001762 "Bonus 2"
SID001763 "Bonus 3"
SID001764 "Cash"
SID001765 "All"
SID001766 "/"
SID001767 "1"
SID001768 "/"
SID001769 "2"
SID001770 "/"
SID001771 "3"
SID001772 "/"
SID001773 "4"
SID001774 "/"
SID001775 "5"
SID001776 "Cash Sponsors"
SID001777 "Sponsors"
SID001778 "Cash"
SID001779 "%d"
SID001780 "Free"
SID001781 "New"
SID001782 "-"
SID001783 "-"
SID001784 "Negotiations "
SID001785 "Terminated"
SID001786 "Negotiations with:  %s"
SID001787 "Deal Signed"
SID001788 "Select Cash Sponsor"
SID001789 "Negotiations Started"
SID001790 "Yes"
SID001791 "No"
SID001792 "Negotiations with:  %s"
SID001793 "Staff Available"
SID001794 " %"
SID001795 "%d%%"
SID001796 "Assigned to this Deal"
SID001797 " %"
SID001798 "%d%%"
SID001799 "Deal Terms "
SID001800 "Unknown"
SID001801 "No Deal"
SID001802 "Bonus"
SID001803 "Guaranteed"
SID001804 "Deal Completion"
SID001805 "Cash Offer"
SID001806 "%d season(s)"
SID001807 "%d season"
SID001808 "Sign Deal"
SID001809 "Sign Deal"
SID001810 "Bonus 1"
SID001811 "Cash Offer increased from %s to %s"
SID001812 "Bonus 2"
SID001813 "Cash Offer increased from %s to %s"
SID001814 "Bonus 3"
SID001815 "Cash Offer increased from %s to %s"
SID001816 "Advantages"
SID001817 "MUGENHO"
SID001818 "Soliver"
SID001819 "Canal"
SID001820 "Telearg"
SID001821 "Team Sponsors"
SID001822 "Sponsors"
SID001823 "Cash"
SID001824 "%d"
SID001825 "%d"
SID001826 "Free"
SID001827 "-"
SID001828 "-"
SID001829 "-"
SID001830 "Engine Sponsor"
SID001831 "Sponsors"
SID001832 "Cash"
SID001833 "R&D"
SID001834 "%d Deal"
SID001835 "Term"
SID001836 "%d Deal"
SID001837 "None"
SID001838 "%d/%d"
SID001839 "-"
SID001840 "None"
SID001841 "-"
SID001842 "-"
SID001843 "-"
SID001844 "-"
SID001845 "%d Engine Data"
SID001846 "Sponsors"
SID001847 "Specification"
SID001848 "Power"
SID001849 "Reliability"
SID001850 "Weight"
SID001851 "Heat"
SID001852 "Fuel"
SID001853 "Rigidity"
SID001854 "Response"
SID001855 "Teams"
SID001856 "Tyre Sponsor"
SID001857 "Sponsors"
SID001858 "Cash"
SID001859 "R&D"
SID001860 "%d Deal"
SID001861 "Term"
SID001862 "%d Deal"
SID001863 "None"
SID001864 "%d/%d"
SID001865 "-"
SID001866 "None"
SID001867 "-"
SID001868 "-"
SID001869 "-"
SID001870 "-"
SID001871 "%d Tyre Data"
SID001872 "Specification"
SID001873 "Grip"
SID001874 "Resilience"
SID001875 "Stiffness"
SID001876 "Grip"
SID001877 "Resilience"
SID001878 "Stiffness"
SID001879 "Temperature"
SID001880 "Dry Hard"
SID001881 "Dry Soft"
SID001882 "Intermediate"
SID001883 "Wet Weather"
SID001884 "Fuel Sponsors"
SID001885 "Sponsors"
SID001886 "Cash"
SID001887 "R&D"
SID001888 "%d Deal"
SID001889 "Term"
SID001890 "%d Deal"
SID001891 "None"
SID001892 "%d/%d"
SID001893 "-"
SID001894 "None"
SID001895 "-"
SID001896 "-"
SID001897 "-"
SID001898 "-"
SID001899 "%d Fuel Data"
SID001900 "Sponsors"
SID001901 "Specification"
SID001902 "Performance"
SID001903 "Engine Tolerance"
SID001904 "Cash Sponsors"
SID001905 "Cash"
SID001906 "All"
SID001907 "/"
SID001908 "1"
SID001909 "/"
SID001910 "2"
SID001911 "/"
SID001912 "3"
SID001913 "/"
SID001914 "4"
SID001915 "/"
SID001916 "5"
SID001917 "Sponsors"
SID001918 "Cash"
SID001919 "%d"
SID001920 "%d"
SID001921 "Free"
SID001922 "-"
SID001923 "-"
SID001924 "-"
SID001925 "Team"
SID001926 "Cash"
SID001927 "(C)"
SID001928 "(P)"
SID001929 "(W)"
SID001930 "%d Seasons"
SID001931 "Empty"
SID001932 "Team"
SID001933 "Cash"
SID001934 "(C)"
SID001935 "(P)"
SID001936 "(W)"
SID001937 "%d Seasons"
SID001938 "Empty"
SID001939 "-"
SID001940 "-"
SID001941 "-"
SID001942 "-"
SID001943 "-"
SID001944 "-"
SID001945 "-"
SID001946 "Annual Tyre Cost Reduced To %s"
SID001947 "Annual Tyre Cost Reduced To %s"
SID001948 "Annual Tyre Cost Reduced To %s"
SID001949 "Bonus Sponsorship Income of %s"
SID001950 "Assist Tyre R & D"
SID001951 "Access To Tyre Upgrades"
SID001952 "Fast Tyre Upgrades"
SID001953 "Control Tyre R & D"
SID001954 "Tyre Upgrade Priority"
SID001955 "Annual Engine Cost Reduced To %s"
SID001956 "Annual Engine Cost Reduced To %s"
SID001957 "Annual Engine Cost Reduced To %s"
SID001958 "Bonus Sponsorship Income of %s"
SID001959 "Assist Engine R & D"
SID001960 "Access To Engine Upgrades"
SID001961 "Fast Engine Upgrades"
SID001962 "Control Engine R & D"
SID001963 "Engine Upgrade Priority"
SID001964 "Annual Fuel Cost Reduced To %s"
SID001965 "Annual Fuel Cost Reduced To %s"
SID001966 "Annual Fuel Cost Reduced To %s"
SID001967 "Bonus Sponsorship Income of %s"
SID001968 "Assist Fuel R & D"
SID001969 "Access To Fuel Upgrades"
SID001970 "Fast Fuel Upgrades"
SID001971 "Control Fuel R & D"
SID001972 "Fuel Upgrade Priority"
SID001973 "Career Summary"
SID001974 "Return to Main Menu"
SID001975 "Career Summary"
SID001976 "Career Summary"
SID001977 "Player Name"
SID001978 "Team"
SID001979 "Score"
SID001980 "Years"
SID001981 "Grand Prix"
SID001982 "Driver Championships"
SID001983 "Constructor Championships"
SID001984 "Hall of Fame Ranking"
SID001985 "Unclassified"
SID001986 "Hard luck. Lasting ten years in the competitive world of Formula One racing takes determination. Maybe you'll do better next time."
SID001987 "Well done. You've lasted the full ten years in one of the toughest jobs in the world. Only one final goal still remains, and that is to get to the top of the Hall of Fame."
SID001988 "Congratulations. You have won everthing there is to win, and can rightly claim the title of Grand Prix Manager of the Decade."
SID001989 "Driver Information"
SID001990 "-"
SID001991 "-"
SID001992 "1"
SID001993 "2"
SID001994 "T"
SID001995 "-"
SID001996 "-"
SID001997 "Driver 1"
SID001998 "Driver 1="
SID001999 "Driver 2"
SID002000 "Test Driver"
SID002001 "-"
SID002002 "Ability"
SID002003 "Speed"
SID002004 "Skill"
SID002005 "Overtaking"
SID002006 "Wet Weather"
SID002007 "Concentration"
SID002008 "Experience"
SID002009 "Stamina"
SID002010 "Morale"
SID002011 "Career"
SID002012 "Age"
SID002013 "Nationality"
SID002014 "Championships"
SID002015 "Races"
SID002016 "Wins"
SID002017 "Points"
SID002018 "Fastest Laps"
SID002019 "Points Finishes"
SID002020 "Pole Positions"
SID002021 "Driver Orders"
SID002022 "Change Car"
SID002023 "Decrease Staff"
SID002024 "Increase Staff"
SID002025 "Perform Maintenance"
SID002026 "Perform Repairs"
SID002027 "Mechanics"
SID002028 "Available"
SID002029 "%d%%"
SID002030 "Maintenance"
SID002031 "%d%%"
SID002032 "Repairs"
SID002033 "%d%%"
SID002034 "Testing"
SID002035 "%d%%"
SID002036 "Cars Built"
SID002037 "%d"
SID002038 "-"
SID002039 ">"
SID002040 "%d"
SID002041 "%d Car Status"
SID002042 "Chassis"
SID002043 "Role"
SID002044 "Wear"
SID002045 "Damage"
SID002046 "Upgraded"
SID002047 "%s"
SID002048 "-"
SID002049 "%d%%"
SID002050 "-"
SID002051 "%d%%"
SID002052 "Race Cars"
SID002053 "-"
SID002054 "-"
SID002055 "No Driver"
SID002056 "-"
SID002057 "-"
SID002058 "-"
SID002059 "No Driver"
SID002060 "-"
SID002061 "-"
SID002062 "-"
SID002063 "No Driver"
SID002064 "-"
SID002065 "Mechanics"
SID002066 "Available"
SID002067 "%d%%"
SID002068 "Repairs"
SID002069 "%d%%"
SID002070 "Testing"
SID002071 "%d%%"
SID002072 "Maintenance"
SID002073 "%d%%"
SID002074 "Wear"
SID002075 "Spares Needed"
SID002076 "Repair"
SID002077 "%d%%"
SID002078 "%d%%"
SID002079 "Spares Available"
SID002080 "Your car has been successfully refitted."
SID002081 "You do not have enough spares available for the job."
SID002082 "This work will use up %d sets of Spares. If you do not finish the job, the Spares might be wasted. Do you wish to proceed?"
SID002083 "Mechanics"
SID002084 "Available"
SID002085 "%d%%"
SID002086 "Maintenance"
SID002087 "%d%%"
SID002088 "Testing"
SID002089 "%d%%"
SID002090 "Repairs"
SID002091 "%d%%"
SID002092 "Race Ready"
SID002093 "Damage"
SID002094 "Spares Needed"
SID002095 "Repair"
SID002096 "%d%%"
SID002097 "%d%%"
SID002098 "Spares Available"
SID002099 "Your car has been successfully refitted."
SID002100 "You do not have enough spares available for the job."
SID002101 "This work will use up %d sets of Spares. If you do not finish the job, the Spares might be wasted. Do you wish to proceed?"
SID002102 "Maintenance Problem"
SID002103 "Chief Mechanic"
SID002104 "We have some mechanics assigned to maintenance, but have not given them the order to go ahead."
SID002105 "Car Upgrade"
SID002106 "Technical Director"
SID002107 "We are ready to upgrade this year's cars. We should construct the new designs as soon as possible."
SID002108 "Car Damage"
SID002109 "Technical Director"
SID002110 "Unless we repair our cars now, we will not be able to use them at the next race."
SID002111 "Car Wear"
SID002112 "Technical Director"
SID002113 "Our cars are showing excessive wear. We should carry out maintenance to protect them from damage."
SID002114 "Car Warning"
SID002115 "Technical Director"
SID002116 "We only have two race cars. If we damage one, we will have a big problem. We should build more."
SID002117 "Car Problem"
SID002118 "Technical Director"
SID002119 "We have not built any cars to next year's design and time is running out. We need to do something."
SID002120 "Wrecked Car"
SID002121 "Technical Director"
SID002122 "One of our cars was destroyed at the race. We should build a replacement."
SID002123 "Engineers"
SID002124 "Available"
SID002125 "%d%%"
SID002126 "Engineering"
SID002127 "%d%%"
SID002128 "Cost"
SID002129 "Completion"
SID002130 "Build"
SID002131 "Build %d Car"
SID002132 "Build %d Car"
SID002133 "Build %d Car"
SID002134 "Upgrade %d Chassis"
SID002135 "Upgrade Technology"
SID002136 "Upgrade Driving Aids"
SID002137 "Build Spares"
SID002138 "%d%%"
SID002139 "%d%%"
SID002140 "Spares Available"
SID002141 "Decrease Staff"
SID002142 "Increase Staff"
SID002143 "Decrease Contractor Hire"
SID002144 "Increase Contractor Hire"
