SID000000 "Prêt confirmé"
SID001246 "HUILE DE COUDE"
SID001247 "%s s'apprêterait à signer un important accord de directeur technique avec %s."
SID001248 "SIGNATURE DE VETERAN ?"
SID001249 "Lors du dernier Grand Prix, %s a été vu en intense discussion avec les gens de %s."
SID001250 "CHASSEURS DE TETES"
SID001251 "Des sources fiables déclarent que %s a rencontré %s."
SID001252 "DISCUSSIONS SECRETES"
SID001253 "%s a rencontré %s la semaine dernière à propos du poste de responsable conception."
SID001254 "RIVALITES DE DESIGN"
SID001255 "%s aurait été vu à l'usine de %s."
SID001256 "CHANGEMENT DE MAISON"
SID001257 "%s a surpris tout le monde en renvoyant %s, son directeur commercial."
SID001258 "PAS D'ARGENT, PAS D'EMPLOI"
SID001259 "%s a confirmé les rumeurs stupéfiantes concernant le renvoi de son directeur technique, %s."
SID001260 "SANS DIRECTION"
SID001261 "Mécontent de la situation actuelle, %s a décidé de se séparer de %s, son responsable conception."
SID001262 "BOUC EMISSAIRE"
SID001263 "%s a renvoyé %s, son chef mécanicien."
SID001264 "ON FERME LA PORTE"
SID001265 "%s a rayé %s de sa liste de pilotes."
SID001266 "DES TETES TOMBENT"
SID001267 "%s a annoncé le départ de %s de son équipe."
SID001268 "DEPART FULGURANT"
SID001269 "%s a embauché %s."
SID001270 "EMBAUCHE DE PILOTE"
SID001271 "%s a conclu un accord avec %s."
SID001272 "PILOTE A BORD"
SID001273 "%s courra pour %s."
SID001274 "CONTRAT SIGNE"
SID001275 "%s a signé un contrat avec %s."
SID001276 "SUR LES POINTILLES"
SID001277 "%s a accepté de courir pour %s."
SID001278 "CONTRAT CLE"
SID001279 "%s s'est assuré les services de %s."
SID001280 "BELLE EQUIPE"
SID001281 "%s a conclu un accord avec %s."
SID001282 "ACCORD CONFIRME"
SID001283 "%s est près de conclure un accord avec %s."
SID001284 "ACCORD EN COURS"
SID001285 "%s travaille dur pour embaucher %s."
SID001286 "PLUS TRES LOIN"
SID001287 "%s pense obtenir sans problème un accord avec %s."
SID001288 "SIGNATURE DE GRAND PILOTE"
SID001289 "%s espère conclure un accord avec %s."
SID001290 "ACCORD POUR LE PODIUM"
SID001291 "Tout le petit monde de la F1 parle de l'arrivée de %s chez %s."
SID001292 "RUMEUR MAJEURE"
SID001293 "%s envisage de rejoindre %s."
SID001294 "CHAISES MUSICALES"
SID001295 "Des sources internes ont révélé que %s comptait rejoindre %s."
SID001296 "CURIEUSE SAISON"
SID001297 "%s a annoncé un accord imminent avec %s."
SID001298 "OK POUR NOUS, MONSIEUR"
SID001299 "%s a annoncé qu'il comptait se retirer à la fin de la saison."
SID001300 "ADIEUX A LA F1"
SID001301 "%s a annulé son départ en retraite, et courra en F1 l'an prochain."
SID001302 "VOLTE-FACE"
SID001303 "%s a chaleureusement accueilli %s, son nouveau patron. On attend beaucoup de ce nouveau propriétaire d'écurie."
SID001304 "NOUVEAU JOUEUR EN F1"
SID001305 "%s s'est offert un volant chez %s. "
SID001306 "L'ARGENT ROULE"
SID001307 "%s a fait fortune avec ses licences cette année. On trouve ses produits partout."
SID001308 "UNE MARQUE QUI MARCHE"
SID001309 "Les sponsors de %s prennent acte de l'engagement de %s en tant que nouveau directeur commercial."
SID001310 "UN PROPRIETAIRE ATTENTIF"
SID001311 "%s doit rejoindre %s en tant que nouveau directeur commercial."
SID001312 "CASH FLOW"
SID001313 "%s joue la sécurité en nommant %s comme prochain directeur commercial."
SID001314 "L'OEIL SUR LES CHIFFRES"
SID001315 "%s a fait plaisir à son sponsor en choisissant %s comme prochain directeur commercial."
SID001316 "TICKET DE QUALITE"
SID001317 "Les rivaux de %s sont contents que cette écurie ait engagé %s comme prochain responsable conception."
SID001318 "TAILLE-CRAYONS"
SID001319 "%s sera le prochain responsable conception de %s. Ce choix en a surpris plus d'un."
SID001320 "RETOUR A LA PLANCHE A DESSIN"
SID001321 "%s a signé chez %s pour être responsable conception."
SID001322 "TENIR OU COURIR"
SID001323 "%s a signé un Responsable conception lucratif avec %s."
SID001324 "LES CONCEPTS DU SUCCES"
SID001325 "Le monde de la F1 est abasourdi d'apprendre que %s a conclu un accord de directeur technique avec %s."
SID001326 "C'EST QUOI, UNE VOITURE ?"
SID001327 "%s rejoindra %s en tant que prochain directeur technique. C'était inattendu."
SID001328 "LE RETOUR"
SID001329 "%s a embauché %s en tant que prochain directeur technique."
SID001330 "LA FIABILITE EST LA CLE"
SID001331 "%s a conclu un accord avec %s pour le poste de prochain directeur technique."
SID001332 "EN AVANT"
SID001333 "Le personnel de %s serait mécontent de la nomination de %s au poste de chef mécanicien."
SID001334 "SINGE D'ATELIER"
SID001335 "%s vient d'annoncer un accord avec %s pour le poste de chef mécanicien."
SID001336 "CONFIGURATION D'ECURIE ?"
SID001337 "%s a signé avec le très fiable %s pour le poste de prochain chef mécanicien."
SID001338 "LES MAINS DANS LE CAMBOUIS"
SID001339 "Le personnel de %s est heureux de la nomination de %s en tant que prochain chef d'atelier."
SID001340 "RAPIDE A LA TACHE"
SID001341 "Les discussions entre %s et %s sur un éventuel contrat de pilote se sont achevées par une vive dispute."
SID001342 "SORTIE THEATRALE"
SID001343 "Les récentes discussions entre %s et %s se sont terminées par le départ fracassant de %s de la réunion."
SID001344 "RUPTURE SANGLANTE"
SID001345 "%s a signé avec %s pour le poste de prochain responsable conception. %s avait également discuté avec %s."
SID001346 "DEMANDE"
SID001347 "%s a rejoint %s en tant que prochain directeur technique, après avoir également longuement discuté avec %s."
SID001348 "DECISION DIFFICILE"
SID001349 "Le chef mécanicien %s a signé un accord avec %s, et non avec %s comme certains l'escomptaient."
SID001350 "ROUE DANS LA ROUE"
SID001351 "Le directeur commercial %s pensait rejoindre %s, mais a finalement signé avec %s."
SID001352 "AMOUR OU ARGENT ?"
SID001353 "MUGENHO"
SID001354 "Soliver"
SID001355 "Canal"
SID001356 "Telearg"
SID001357 "Options de jeu"
SID001358 "Options audio"
SID001359 "Affichage 3D"
SID001360 "Musique"
SID001361 "Effets sonores"
SID001362 "Dialogues"
SID001363 "Qualité de course"
SID001364 "Logos des sponsors"
SID001365 "Retour à la course"
SID001366 "Relancer la partie"
SID001367 "Ecran d'enregistrement de partie"
SID001368 "Quitter la partie"
SID001369 "Options de jeu"
SID001370 "Si vous relancez la partie, vous perdrez toutes les modifications non sauvegardées, et retournerez au menu principal. Voulez-vous toujours le faire ?"
SID001371 "Options audio"
SID001372 "Options audio"
SID001373 "Affichage 3D"
SID001374 "Affichage 3D"
SID001375 "Musique"
SID001376 "Effets sonores"
SID001377 "Dialogues"
SID001378 "Effets visuels"
SID001379 "Logos des vrais sponsors"
SID001380 "Vitesse course"
SID001381 "Etes-vous certain de vouloir enregistrer la partie en cours ?"
SID001382 "Etes-vous certain de vouloir supprimer cette partie ?"
SID001383 "Si vous relancez la partie, vous perdrez toutes les modifications non sauvegardées, et retournerez au menu principal. Voulez-vous toujours le faire ?"
SID001384 "Effets sonores"
SID001385 "Dialogues"
SID001386 "Effets visuels"
SID001387 "Logos des sponsors 1998"
SID001388 "Vitesse course"
SID001389 "Pause"
SID001390 "ENREG. AUTO"
SID001391 "VIDE"
SID001392 "VIDE"
SID001393 "Joueur :"
SID001394 "Ecurie :"
SID001395 "Créée :"
SID001396 "Modifiée :"
SID001397 "Score :"
SID001398 "Saisons effectuées :"
SID001399 "Année en cours :"
SID001400 "Position championnat :"
SID001401 "Points championnat :"
SID001402 "Prochaine course :"
SID001403 "%s"
SID001404 "%s"
SID001405 "%s"
SID001406 "%s"
SID001407 "%d"
SID001408 "%d"
SID001409 "%d"
SID001410 "%d"
SID001411 "%s"
SID001412 "er(e)"
SID001413 "ème"
SID001414 "ème"
SID001415 "ème"
SID001416 "%s %d%s"
SID001417 "%s %d%s"
SID001418 ""
SID001419 "Pos"
SID001420 "Pilote"
SID001421 "Ecurie"
SID001422 "Points"
SID001423 "Pts conducteurs %d"
SID001424 "Course %d"
SID001425 "Nouvelle saison"
SID001426 "Hors classement"
SID001427 "%d="
SID001428 "%d"
SID001429 "-"
SID001430 "%d pts"
SID001431 "%d="
SID001432 "%d"
SID001433 "N/A"
SID001434 "%d="
SID001435 "%d"
SID001436 "N/A"
SID001437 "-"
SID001438 "Pts constructeurs %d"
SID001439 "Course %d"
SID001440 "Pos."
SID001441 "Ecurie"
SID001442 "Points"
SID001443 "1"
SID001444 "Nouvelle saison"
SID001445 "%d="
SID001446 "%d"
SID001447 "%s"
SID001448 "%d pts"
SID001449 "Hors classement"
SID001450 "-"
SID001451 "%s"
SID001452 "0 pts"
SID001453 "%d="
SID001454 "%d"
SID001455 "%s"
SID001456 "%d pts"
SID001457 "Hors classement"
SID001458 "-"
SID001459 "%s"
SID001460 "0 pts"
SID001461 "Ordres du pilote"
SID001462 "Retour aux courses FIA"
SID001463 "Plan du circuit"
SID001464 "Retour aux ordres de course"
SID001465 "Retour aux courses FIA"
SID001466 "Infos circuit"
SID001467 "Virages"
SID001468 "Rapports"
SID001469 "Vitesse"
SID001470 "Liste des concurrents"
SID001471 "Liste des concurrents"
SID001472 "Continuer le week-end de course"
SID001473 "Pilote précédent"
SID001474 "Pilote suivant"
SID001475 "Liste des concurrents"
SID001476 "GP %s %d - Concurrents"
SID001477 "N°"
SID001478 "Nom"
SID001479 "Ecurie"
SID001480 "Ne court pas"
SID001481 "Blessé"
SID001482 "Suspendu"
SID001483 "Motif"
SID001484 "Résumé %d"
SID001485 "Sponsors %d"
SID001486 "Bonus %d"
SID001487 "Résumé %d"
SID001488 "Sponsors %d"
SID001489 "Bonus %d"
SID001490 "Apport annuel estimé des sponsors"
SID001491 "Couverture de la voiture"
SID001492 " %"
SID001493 "%d%%"
SID001494 "Apport estimé des sponsors à ce jour"
SID001495 "Apport réel des sponsors à ce jour"
SID001496 "Apport estimé des sponsors par GP"
SID001497 "Apport réel des sponsors par GP"
SID001498 "$"
SID001499 "GP"
SID001500 "Sponsor"
SID001501 "Type"
SID001502 "Valeur"
SID001503 "Saison finale"
SID001504 "Soutien"
SID001505 "%d"
SID001506 "Sponsors techniques"
SID001507 "Bonus"
SID001508 "Moteur"
SID001509 "Pneus"
SID001510 "Carburant"
SID001511 "1"
SID001512 "2"
SID001513 "3"
SID001514 "1"
SID001515 "2"
SID001516 "3"
SID001517 "1"
SID001518 "2"
SID001519 "3"
SID001520 "Apport annuel estimé des sponsors"
SID001521 "Couverture de la voiture"
SID001522 " %"
SID001523 "%d%%"
SID001524 "Apport estimé des sponsors par GP"
SID001525 "$"
SID001526 "GP"
SID001527 "Sponsor"
SID001528 "Type"
SID001529 "Valeur"
SID001530 "Saison finale"
SID001531 "Soutien"
SID001532 "%d"
SID001533 "%d"
SID001534 "Sponsors techniques"
SID001535 "Bonus"
SID001536 "Moteur"
SID001537 "Pneus"
SID001538 "Carburant"
SID001539 "1"
SID001540 "2"
SID001541 "3"
SID001542 "1"
SID001543 "2"
SID001544 "3"
SID001545 "1"
SID001546 "2"
SID001547 "3"
SID001548 "MUGENHO"
SID001549 "Soliver"
SID001550 "Canal"
SID001551 "Telearg"
SID001552 "MUGENHOt"
SID001553 "Solivert"
SID001554 "Canalt"
SID001555 "Teleargt"
SID001556 "rb"
SID001557 "Equipe commerciale"
SID001558 "Disponible"
SID001559 " %"
SID001560 "%d%%"
SID001561 "Licences"
SID001562 " %"
SID001563 "%d%%"
SID001564 "Invitations"
SID001565 " %"
SID001566 "%d%%"
SID001567 "Sponsors"
SID001568 " %"
SID001569 "%d%%"
SID001570 "Sponsor d'écurie"
SID001571 " %"
SID001572 "%d%%"
SID001573 "Sponsor moteur"
SID001574 " %"
SID001575 "%d%%"
SID001576 "Sponsor pneus"
SID001577 " %"
SID001578 "%d%%"
SID001579 "Sponsor carburant"
SID001580 " %"
SID001581 "%d%%"
SID001582 "Sponsors en cash"
SID001583 " %"
SID001584 "%d%%"
SID001585 "Profil de sponsor %d"
SID001586 "Type"
SID001587 "Sponsor"
SID001588 "Ecurie"
SID001589 "Cash"
SID001590 "Cash"
SID001591 "-"
SID001592 "Sponsors d'écurie"
SID001593 "Sponsors"
SID001594 "Cash"
SID001595 "%d"
SID001596 "Libre"
SID001597 "Nouveau"
SID001598 "-"
SID001599 "-"
SID001600 "Le sponsor d'écurie est devenu un sponsor en cash"
SID001601 "Accord saison prochaine : %s"
SID001602 "Sélection de sponsor d'écurie"
SID001603 "Négociations avec :  %s"
SID001604 "Personnel disponible"
SID001605 " %"
SID001606 "%d%%"
SID001607 "Affecté à cet accord"
SID001608 " %"
SID001609 "%d%%"
SID001610 "Négociations"
SID001611 "Terminées"
SID001612 "Négociations avec :  %s"
SID001613 "Accord signé"
SID001614 "Entamées"
SID001615 "Oui"
SID001616 "Non"
SID001617 "Termes de l'accord"
SID001618 "Inconnu(s)"
SID001619 "Aucun accord"
SID001620 "Bonus"
SID001621 "Avec garantie"
SID001622 "Echéance accord"
SID001623 "Offre financière"
SID001624 "%d saison(s)"
SID001625 "%d saison"
SID001626 "Signer"
SID001627 "Signer"
SID001628 "Bonus 1"
SID001629 "Offre financière augmentée de %s à %s"
SID001630 "Bonus 2"
SID001631 "Offre financière augmentée de %s à %s"
SID001632 "Bonus 3"
SID001633 "Offre financière augmentée de %s à %s"
SID001634 "Avantages"
SID001635 "Sponsors moteur"
SID001636 "Sponsors"
SID001637 "Cash"
SID001638 "R&D"
SID001639 "%d"
SID001640 "Accord"
SID001641 "Nouveau"
SID001642 "Néant"
SID001643 "-"
SID001644 "-"
SID001645 "Accord saison prochaine : %s"
SID001646 "Sélection de sponsors moteur"
SID001647 "Négociations avec :  %s"
SID001648 "Personnel disponible"
SID001649 " %"
SID001650 "%d%%"
SID001651 "Affecté à cet accord"
SID001652 " %"
SID001653 "%d%%"
SID001654 "Négociations "
SID001655 "Terminées"
SID001656 "Négociations avec :  %s"
SID001657 "Accord signé"
SID001658 "Entamées"
SID001659 "Oui"
SID001660 "Non"
SID001661 "Termes de l'accord"
SID001662 "Inconnu(s)"
SID001663 "Aucun accord"
SID001664 "Type d'accord"
SID001665 "Bonus"
SID001666 "Avec garantie"
SID001667 "Echéance accord"
SID001668 "Coût"
SID001669 "Offre financière"
SID001670 "%d saison(s)"
SID001671 "%d saison"
SID001672 "Signer"
SID001673 "Signer"
SID001674 "Avantages"
SID001675 "Bonus 1"
SID001676 "Bonus 2"
SID001677 "Bonus 3"
SID001678 "Sponsors pneus"
SID001679 "Sponsors"
SID001680 "Cash"
SID001681 "R&D"
SID001682 "%d"
SID001683 "Accord"
SID001684 "Nouveau"
SID001685 "Néant"
SID001686 "-"
SID001687 "-"
SID001688 "Accord saison prochaine : %s"
SID001689 "Sélection de ponsor pneus"
SID001690 "Négociations avec :  %s"
SID001691 "Personnel disponible"
SID001692 " %"
SID001693 "%d%%"
SID001694 "Affecté à cet accord"
SID001695 " %"
SID001696 "%d%%"
SID001697 "Négociations "
SID001698 "Terminées"
SID001699 "Négociations avec :  %s"
SID001700 "Accord signé"
SID001701 "Entamées"
SID001702 "Oui"
SID001703 "Non"
SID001704 "Termes de l'accord "
SID001705 "Inconnu(s)"
SID001706 "Aucun accord"
SID001707 "Type d'accord"
SID001708 "Bonus"
SID001709 "Avec garantie"
SID001710 "Echéance accord"
SID001711 "Coût"
SID001712 "Offre financière"
SID001713 "%d saison(s)"
SID001714 "%d saison"
SID001715 "Signer"
SID001716 "Signer"
SID001717 "Avantages"
SID001718 "Bonus 1"
SID001719 "Bonus 2"
SID001720 "Bonus 3"
SID001721 "Sponsors carburant"
SID001722 "Sponsors"
SID001723 "Cash"
SID001724 "R&D"
SID001725 "%d"
SID001726 "Accord"
SID001727 "Nouveau"
SID001728 "Néant"
SID001729 "-"
SID001730 "-"
SID001731 "Accord saison prochaine : %s"
SID001732 "Sélection de sponsor carburant"
SID001733 "Négociations avec :  %s"
SID001734 "Personnel disponible"
SID001735 " %"
SID001736 "%d%%"
SID001737 "Affecté à cet accord"
SID001738 " %"
SID001739 "%d%%"
SID001740 "Négociations "
SID001741 "Terminées"
SID001742 "Négociations avec :  %s"
SID001743 "Accord signé"
SID001744 "Entamées"
SID001745 "Oui"
SID001746 "Non"
SID001747 "Termes de l'accord "
SID001748 "Inconnu(s)"
SID001749 "Aucun accord"
SID001750 "Type d'accord"
SID001751 "Bonus"
SID001752 "Avec garantie"
SID001753 "Echéance accord"
SID001754 "Coût"
SID001755 "Offre financière"
SID001756 "%d saison(s)"
SID001757 "%d saison"
SID001758 "Signer"
SID001759 "Signer"
SID001760 "Avantages"
SID001761 "Bonus 1"
SID001762 "Bonus 2"
SID001763 "Bonus 3"
SID001764 "Cash"
SID001765 "Tous"
SID001766 "/"
SID001767 "1"
SID001768 "/"
SID001769 "2"
SID001770 "/"
SID001771 "3"
SID001772 "/"
SID001773 "4"
SID001774 "/"
SID001775 "5"
SID001776 "Sponsors en cash"
SID001777 "Sponsors"
SID001778 "Cash"
SID001779 "%d"
SID001780 "Libre"
SID001781 "Nouveau"
SID001782 "-"
SID001783 "-"
SID001784 "Négociations "
SID001785 "Terminées"
SID001786 "Négociations avec :  %s"
SID001787 "Accord signé"
SID001788 "Sélection de sponsor cash"
SID001789 "Entamées"
SID001790 "Oui"
SID001791 "Non"
SID001792 "Négociations avec :  %s"
SID001793 "Personnel disponible"
SID001794 " %"
SID001795 "%d%%"
SID001796 "Affecté à cet accord"
SID001797 " %"
SID001798 "%d%%"
SID001799 "Termes de l'accord "
SID001800 "Inconnu(s)"
SID001801 "Aucun accord"
SID001802 "Bonus"
SID001803 "Avec garantie"
SID001804 "Echéance accord"
SID001805 "Offre financière"
SID001806 "%d saison(s)"
SID001807 "%d saison"
SID001808 "Signer"
SID001809 "Signer"
SID001810 "Bonus 1"
SID001811 "Offre financière augmentée de %s à %s"
SID001812 "Bonus 2"
SID001813 "Offre financière augmentée de %s à %s"
SID001814 "Bonus 3"
SID001815 "Offre financière augmentée de %s à %s"
SID001816 "Avantages"
SID001817 "MUGENHO"
SID001818 "Soliver"
SID001819 "Canal"
SID001820 "Telearg"
SID001821 "Sponsors d'écurie"
SID001822 "Sponsors"
SID001823 "Cash"
SID001824 "%d"
SID001825 "%d"
SID001826 "Libre"
SID001827 "-"
SID001828 "-"
SID001829 "-"
SID001830 "Sponsor moteur"
SID001831 "Sponsors"
SID001832 "Cash"
SID001833 "R&D"
SID001834 "Accord %d"
SID001835 "Durée"
SID001836 "Accord %d"
SID001837 "Néant"
SID001838 "%d/%d"
SID001839 "-"
SID001840 "Néant"
SID001841 "-"
SID001842 "-"
SID001843 "-"
SID001844 "-"
SID001845 "Données moteur %d"
SID001846 "Sponsors"
SID001847 "Spécifications"
SID001848 "Puissance"
SID001849 "Fiabilité"
SID001850 "Poids"
SID001851 "Chaleur"
SID001852 "Carburant"
SID001853 "Rigidité"
SID001854 "Réponse"
SID001855 "Ecuries"
SID001856 "Sponsor pneus"
SID001857 "Sponsors"
SID001858 "Cash"
SID001859 "R&D"
SID001860 "Accord %d"
SID001861 "Durée"
SID001862 "Accord %d"
SID001863 "Néant"
SID001864 "%d/%d"
SID001865 "-"
SID001866 "Néant"
SID001867 "-"
SID001868 "-"
SID001869 "-"
SID001870 "-"
SID001871 "Données pneus %d"
SID001872 "Spécifications"
SID001873 "Accroche"
SID001874 "Elasticité"
SID001875 "Rigidité"
SID001876 "Accroche"
SID001877 "Elasticité"
SID001878 "Rigidité"
SID001879 "Température"
SID001880 "Sec dur"
SID001881 "Sec tendre"
SID001882 "Intermédiaire"
SID001883 "Pluie"
SID001884 "Sponsors carburant"
SID001885 "Sponsors"
SID001886 "Cash"
SID001887 "R&D"
SID001888 "Accord %d"
SID001889 "Durée"
SID001890 "Accord %d"
SID001891 "Néant"
SID001892 "%d/%d"
SID001893 "-"
SID001894 "Néant"
SID001895 "-"
SID001896 "-"
SID001897 "-"
SID001898 "-"
SID001899 "Données carburant %d"
SID001900 "Sponsors"
SID001901 "Spécifications"
SID001902 "Performances"
SID001903 "Tolérance moteur"
SID001904 "Sponsors cash"
SID001905 "Cash"
SID001906 "Tous"
SID001907 "/"
SID001908 "1"
SID001909 "/"
SID001910 "2"
SID001911 "/"
SID001912 "3"
SID001913 "/"
SID001914 "4"
SID001915 "/"
SID001916 "5"
SID001917 "Sponsors"
SID001918 "Cash"
SID001919 "%d"
SID001920 "%d"
SID001921 "Libre"
SID001922 "-"
SID001923 "-"
SID001924 "-"
SID001925 "Ecurie"
SID001926 "Cash"
SID001927 "(C)"
SID001928 "(P)"
SID001929 "(U)"
SID001930 "%d Saisons"
SID001931 "Vide"
SID001932 "Ecurie"
SID001933 "Cash"
SID001934 "(C)"
SID001935 "(P)"
SID001936 "(U)"
SID001937 "%d Saisons"
SID001938 "Vide"
SID001939 "-"
SID001940 "-"
SID001941 "-"
SID001942 "-"
SID001943 "-"
SID001944 "-"
SID001945 "-"
SID001946 "Coût annuel des pneus ramené à %s"
SID001947 "Coût annuel des pneus ramené à %s"
SID001948 "Coût annuel des pneus ramené à %s"
SID001949 "Bonus revenus sponsor de %s"
SID001950 "Assistance R&D pneus"
SID001951 "Amélioration de pneus disponible"
SID001952 "Amél. pneus rapides"
SID001953 "Contrôle R&D pneus"
SID001954 "Priorité amél. pneus"
SID001955 "Coût annuel moteur ramené à %s"
SID001956 "Coût annuel moteur ramené à %s"
SID001957 "Coût annuel moteur ramené à %s"
SID001958 "Bonus revenus aponsor de %s"
SID001959 "Assistance R&D moteur"
SID001960 "Disponibilité amél. moteur"
SID001961 "Amél. moteur rapides"
SID001962 "Contrôle R&D moteur"
SID001963 "Priorité amél. moteur"
SID001964 "Coût annuel carburant ramené à %s"
SID001965 "Coût annuel carburant ramené à %s"
SID001966 "Coût annuel carburant ramené à %s"
SID001967 "Bonus revenus sponsor de %s"
SID001968 "Assistance R&D carburant"
SID001969 "Disponibilité amél. carburant"
SID001970 "Amél. carburant rapides"
SID001971 "Contrôle R&D carburant"
SID001972 "Priorité amél. carburant"
SID001973 "Résumé de carrière"
SID001974 "Retour au menu principal"
SID001975 "Résumé de carrière"
SID001976 "Résumé de carrière"
SID001977 "Nom du joueur"
SID001978 "Ecurie"
SID001979 "Score"
SID001980 "Années"
SID001981 "Grand Prix"
SID001982 "Championnats conducteurs"
SID001983 "Championnats constructeurs"
SID001984 "Rang au tableau d'honneur"
SID001985 "Hors classement"
SID001986 "Pas de chance. Demeurer dix ans dans l'univers impitoyable de la F1 réclame de la détermination. Vous ferez peut-être mieux la prochaine fois."
SID001987 "Bien joué. Vous avez occupé l'un des postes les plus exigeants au monde pendant dix ans. Il ne vous reste qu'un objectif à atteindre : vous hisser au premier rang du tableau d'honneur."
SID001988 "Félicitations. Vous avez gagné tout ce qu'il y avait à gagner, et pouvez réclamer sans conteste le titre de Manager de Formule 1 de la décennie."
SID001989 "Infos pilote"
SID001990 "-"
SID001991 "-"
SID001992 "1"
SID001993 "2"
SID001994 "E"
SID001995 "-"
SID001996 "-"
SID001997 "Pilote 1"
SID001998 "Pilote 1="
SID001999 "Pilote 2"
SID002000 "Pilote d'essai"
SID002001 "-"
SID002002 "Capacité"
SID002003 "Vitesse"
SID002004 "Talent"
SID002005 "Dépassement"
SID002006 "Temps de pluie"
SID002007 "Concentration"
SID002008 "Expérience"
SID002009 "Tonus"
SID002010 "Moral"
SID002011 "Carrière"
SID002012 "Age"
SID002013 "Nationalité"
SID002014 "Championnats"
SID002015 "Courses"
SID002016 "Victoires"
SID002017 "Points"
SID002018 "Meilleurs tours"
SID002019 "Arrivées à pts"
SID002020 "Pole positions"
SID002021 "Ordres du pilote"
SID002022 "Changer de voiture"
SID002023 "Réduire le personnel"
SID002024 "Accroître le personnel"
SID002025 "Effectuer la maintenance"
SID002026 "Effectuer les réparations"
SID002027 "Mécaniciens"
SID002028 "Disponible(s)"
SID002029 "%d%%"
SID002030 "Maintenance"
SID002031 "%d%%"
SID002032 "Réparations"
SID002033 "%d%%"
SID002034 "Essais"
SID002035 "%d%%"
SID002036 "Voitures cons."
SID002037 "%d"
SID002038 "-"
SID002039 ">"
SID002040 "%d"
SID002041 "Situation voiture %d"
SID002042 "Châssis"
SID002043 "Rôle"
SID002044 "Usure"
SID002045 "Dégâts"
SID002046 "Amélioré(e)"
SID002047 "%s"
SID002048 "-"
SID002049 "%d%%"
SID002050 "-"
SID002051 "%d%%"
SID002052 "Voitures"
SID002053 "-"
SID002054 "-"
SID002055 "Pas de pilote"
SID002056 "-"
SID002057 "-"
SID002058 "-"
SID002059 "Pas de pilote"
SID002060 "-"
SID002061 "-"
SID002062 "-"
SID002063 "Pas de pilote"
SID002064 "-"
SID002065 "Mécaniciens"
SID002066 "Disponible(s)"
SID002067 "%d%%"
SID002068 "Réparations"
SID002069 "%d%%"
SID002070 "Essais"
SID002071 "%d%%"
SID002072 "Maintenance"
SID002073 "%d%%"
SID002074 "Usure"
SID002075 "Changer pièce"
SID002076 "Réparer"
SID002077 "%d%%"
SID002078 "%d%%"
SID002079 "Pièces disponibles"
SID002080 "Votre voiture a été remise en état."
SID002081 "Vous n'avez pas assez de rechanges pour ce travail."
SID002082 "Ce travail utilisera %d jeu(x) de rechanges. Si vous ne le terminez pas, les rechanges risquent d'être perdus. Voulez-vous continuer ?"
SID002083 "Mécaniciens"
SID002084 "Disponible(s)"
SID002085 "%d%%"
SID002086 "Maintenance"
SID002087 "%d%%"
SID002088 "Essais"
SID002089 "%d%%"
SID002090 "Réparations"
SID002091 "%d%%"
SID002092 "Prête"
SID002093 "Dégâts"
SID002094 "Changer pièce"
SID002095 "Réparer"
SID002096 "%d%%"
SID002097 "%d%%"
SID002098 "Pièces disponibles"
SID002099 "Votre voiture a été remise en état."
SID002100 "Vous n'avez pas assez de rechanges pour ce travail."
SID002101 "Ce travail utilisera %d jeu(x) de rechanges. Si vous ne le terminez pas, les rechanges risquent d'être perdus. Voulez-vous continuer ?"
SID002102 "Problème de maintenance"
SID002103 "Chef mécanicien"
SID002104 "Des mécanos ont été affectés à la maintenance, mais on ne leur a pas donné l'ordre de commencer."
SID002105 "Améliorations voiture"
SID002106 "Directeur technique"
SID002107 "Nous sommes prêts à mettre les voitures de cette année à niveau. Nous devrions construire les nouveaux modèles le plus vite possible."
SID002108 "Dégâts voiture"
SID002109 "Directeur technique"
SID002110 "Si nous ne réparons pas nos voitures immédiatement, nous ne pourrons pas les engager lors de la prochaine course."
SID002111 "Usure voiture"
SID002112 "Directeur technique"
SID002113 "Nos voitures sont très usées. Nous devrions lancer la maintenance pour éviter qu'elles soient endommagées."
SID002114 "Voitures : avertissement"
SID002115 "Directeur technique"
SID002116 "Nous n'avons que deux voitures de course. Si l'une est endommagée, nous serons en mauvaise posture. Nous devrions en construire d'autres."
SID002117 "Problème voiture"
SID002118 "Directeur technique"
SID002119 "Le temps passe et nous n'avons pas construit de voitures selon le modèle de l'an prochain. Il faut faire quelque chose."
SID002120 "Epave"
SID002121 "Directeur technique"
SID002122 "L'une de nos voitures a été détruite en course. Il faut en construire une pour la remplacer."
SID002123 "Ingénieurs"
SID002124 "Disponible(s)"
SID002125 "%d%%"
SID002126 "Ingénierie"
SID002127 "%d%%"
SID002128 "Coût"
SID002129 "Avancement"
SID002130 "Cons."
SID002131 "Construire voiture %d"
SID002132 "Construire voiture %d"
SID002133 "Construire voiture %d"
SID002134 "Mettre à niveau châssis %d"
SID002135 "Mettre à niveau technologie"
SID002136 "Mettre à niv. aides pilotage"
SID002137 "Construire rechanges"
SID002138 "%d%%"
SID002139 "%d%%"
SID002140 "Rechanges disponibles"
SID002141 "Réduire le personnel"
SID002142 "Accroître le personnel"
SID002143 "Diminuer recours à sous-traitants"
SID002144 "Augmenter recours à sous-traitants"
SID002145 "Construire voiture %d"
SID002146 "Construire voiture %d"
SID002147 "Mettre à niveau châssis %d"
SID002148 "Construire technologie"
